T = 47;
S = 7;
C = 224;
t = [18 36 9 6 9 8 12 20 6 36 9 8 10 3 28 9 36 8 9 20 9 9 36 36 20 100 10 36 11 10 9 110 22 6 10 12 84 10 84 12 20 9 20 9 36 6 9 0 0 0 0 0 0 0 0 ];
P = {<1,2> <1,32> <2,3> <2,4> <5,6> <5,32> <8,9> <8,10> <9,11> <9,32> <10,11> <10,12> <13,14> <14,19> <15,16> <16,17> <17,18> <18,20> <18,22> <18,32> <18,47> <19,26> <20,21> <22,23> <22,24> <23,25> <24,25> <26,27> <27,28> <28,29> <29,30> <30,31> <32,33> <33,34> <33,35> <34,36> <35,36> <36,37> <36,43> <37,38> <38,39> <39,40> <40,41> <41,42> <43,44> <44,45> <45,46> };
POR = {};
setup = [[0 17 3 0 0 2 0 2 1 11 0 0 1 0 11 1 10 1 3 8 2 3 7 6 1 21 4 17 0 1 2 11 4 0 1 5 6 3 8 5 5 0 9 1 11 0 0 0 0 0 0 0 0 0 0 ],
[2 0 1 1 2 0 3 9 1 10 0 2 0 0 8 3 15 3 3 7 3 3 11 13 0 16 2 12 2 2 1 37 0 0 4 4 18 0 9 3 4 3 1 0 14 0 1 0 0 0 0 0 0 0 0 ],
[3 13 0 2 2 2 5 6 1 9 2 3 2 0 2 3 2 1 3 9 2 0 15 1 1 15 0 4 1 1 0 6 0 2 3 5 16 0 24 2 5 2 2 1 6 1 2 0 0 0 0 0 0 0 0 ],
[3 12 0 0 3 3 4 6 0 7 1 3 2 0 4 0 17 1 1 9 0 1 11 8 5 41 0 13 2 0 1 26 1 0 0 5 26 0 12 5 9 0 5 1 8 2 1 0 0 0 0 0 0 0 0 ],
[0 11 3 0 0 3 2 9 2 9 3 3 2 0 10 3 12 3 0 6 0 0 6 7 1 7 3 3 1 4 0 50 7 0 1 2 3 0 13 5 1 3 5 1 0 2 3 0 0 0 0 0 0 0 0 ],
[5 6 1 1 2 0 1 1 2 10 2 2 4 0 13 0 2 3 1 4 2 1 12 8 3 26 1 4 3 2 3 45 6 2 0 2 1 2 27 3 1 1 2 0 0 0 3 0 0 0 0 0 0 0 0 ],
[1 15 3 2 3 0 0 5 2 7 0 1 0 0 10 0 5 2 0 6 3 1 4 3 2 19 3 17 0 3 2 1 10 2 2 2 25 2 21 1 4 3 1 1 17 2 1 0 0 0 0 0 0 0 0 ],
[6 7 2 0 2 3 4 0 1 2 1 3 2 0 10 1 7 0 3 5 0 1 15 10 1 37 0 13 0 0 1 47 7 1 4 0 7 4 3 5 4 0 8 2 12 1 1 0 0 0 0 0 0 0 0 ],
[7 4 3 0 2 1 0 3 0 11 1 2 4 0 7 1 5 3 0 3 3 3 14 7 0 0 4 17 4 4 1 46 9 1 0 1 22 2 16 4 4 2 8 2 8 1 0 0 0 0 0 0 0 0 0 ],
[4 7 1 0 3 3 5 2 2 0 3 0 0 0 6 3 1 3 0 2 3 0 1 2 5 32 0 16 4 0 1 40 4 2 1 4 18 2 3 0 7 1 1 2 5 1 3 0 0 0 0 0 0 0 0 ],
[7 9 3 1 2 2 4 6 1 7 0 2 3 0 5 0 13 0 2 6 3 3 16 9 5 18 4 0 0 4 0 4 7 1 3 3 30 0 9 4 4 2 8 2 13 0 1 0 0 0 0 0 0 0 0 ],
[4 4 2 0 3 3 5 2 0 1 3 0 4 0 8 0 6 0 2 4 2 3 5 1 1 40 0 2 1 4 1 38 7 0 0 0 17 0 18 4 7 0 4 3 3 1 0 0 0 0 0 0 0 0 0 ],
[8 11 1 0 3 3 3 8 1 3 3 0 0 0 5 0 8 3 0 6 1 3 16 6 6 22 2 6 3 4 2 54 6 0 4 4 27 0 1 3 7 0 6 1 8 1 0 0 0 0 0 0 0 0 0 ],
[6 11 0 0 2 1 2 1 0 15 2 3 3 0 12 1 15 0 2 0 3 2 2 13 1 6 1 3 1 3 0 45 3 1 0 2 41 0 29 3 6 2 1 2 3 1 2 0 0 0 0 0 0 0 0 ],
[5 6 1 1 0 2 5 6 1 1 1 0 0 0 0 2 6 3 2 9 1 3 9 4 0 8 4 13 0 0 1 15 3 2 3 2 9 0 35 4 0 0 4 2 14 1 3 0 0 0 0 0 0 0 0 ],
[0 5 2 1 2 0 3 4 0 10 3 0 0 0 11 0 13 2 3 7 0 3 4 16 2 43 4 10 3 0 1 19 3 0 0 0 41 2 40 1 4 0 8 0 3 1 1 0 0 0 0 0 0 0 0 ],
[8 1 0 1 1 1 5 4 2 11 3 2 4 0 13 1 0 3 3 2 0 3 5 11 9 29 3 3 0 0 3 33 0 0 1 4 26 4 25 1 4 0 1 1 0 0 0 0 0 0 0 0 0 0 0 ],
[1 17 0 0 3 0 0 4 1 14 2 0 2 0 12 1 13 0 3 0 3 2 7 3 0 6 0 17 0 4 1 48 4 1 2 1 32 0 34 5 4 3 8 0 4 0 0 0 0 0 0 0 0 0 0 ],
[5 5 2 2 1 2 1 3 1 4 0 2 0 0 11 3 17 3 0 3 1 3 10 2 3 33 1 17 3 1 0 31 7 0 1 0 18 0 6 1 9 1 0 0 6 1 2 0 0 0 0 0 0 0 0 ],
[4 1 2 0 0 2 0 3 1 1 1 1 4 0 8 1 17 0 1 0 0 3 16 17 3 25 2 1 0 0 3 54 0 2 3 0 2 3 36 1 3 0 8 1 1 0 1 0 0 0 0 0 0 0 0 ],
[8 8 0 0 1 3 4 4 1 12 2 2 1 0 2 1 1 1 0 0 0 2 17 8 0 28 2 12 3 0 1 18 3 2 2 0 0 3 40 0 2 2 2 1 11 1 1 0 0 0 0 0 0 0 0 ],
[7 7 1 1 1 2 0 1 2 9 2 3 1 0 9 0 6 1 2 6 1 0 12 15 6 34 2 16 0 2 3 38 9 0 4 3 38 4 19 1 4 0 4 3 2 1 1 0 0 0 0 0 0 0 0 ],
[6 11 3 0 0 0 3 3 2 8 2 2 3 0 10 1 12 0 0 5 0 2 0 5 7 47 3 13 2 4 0 7 0 0 4 1 32 0 13 0 2 2 6 0 8 0 1 0 0 0 0 0 0 0 0 ],
[6 2 3 1 2 1 1 0 1 10 2 2 2 0 2 3 17 1 1 0 0 1 15 0 9 21 2 10 3 3 2 11 0 2 3 3 26 2 11 4 3 0 1 1 7 2 1 0 0 0 0 0 0 0 0 ],
[0 3 2 0 0 1 4 6 1 11 2 3 2 0 6 2 0 1 2 7 3 1 7 6 0 45 0 5 4 2 2 47 3 0 3 3 17 0 18 4 8 1 1 0 11 0 2 0 0 0 0 0 0 0 0 ],
[3 12 2 2 2 2 3 6 1 10 2 3 0 0 1 3 2 2 2 5 0 2 5 4 2 0 3 14 3 1 1 19 4 2 0 2 12 4 41 4 0 3 4 1 5 1 0 0 0 0 0 0 0 0 0 ],
[7 10 3 1 2 0 1 7 2 13 1 0 3 0 4 2 8 1 3 8 2 3 0 2 2 0 0 6 4 4 2 33 0 0 1 3 31 3 36 4 9 1 0 0 15 0 3 0 0 0 0 0 0 0 0 ],
[2 16 1 1 0 0 2 4 2 6 0 1 1 0 5 2 9 3 3 9 3 3 8 11 4 10 2 0 4 4 0 25 3 1 0 0 27 4 20 1 9 2 5 2 5 2 3 0 0 0 0 0 0 0 0 ],
[7 3 0 1 3 1 4 4 2 4 1 2 2 0 5 3 0 1 2 9 3 2 12 0 5 43 4 7 0 4 0 44 0 2 2 0 23 4 0 2 8 0 4 0 14 0 0 0 0 0 0 0 0 0 0 ],
[3 16 2 2 1 1 4 9 2 8 0 3 1 0 5 3 11 3 0 2 3 2 2 5 3 28 3 8 0 0 3 6 1 2 4 5 17 0 0 4 3 3 1 0 12 0 3 0 0 0 0 0 0 0 0 ],
[4 6 3 1 0 2 3 4 2 10 1 1 3 0 8 2 5 1 2 5 3 2 8 0 7 7 0 1 2 4 0 8 8 1 0 0 10 2 38 3 3 0 9 2 15 1 1 0 0 0 0 0 0 0 0 ],
[2 6 2 1 3 0 3 1 2 14 3 1 1 0 7 2 14 2 3 7 1 0 16 2 2 2 1 9 4 1 0 0 9 1 4 3 9 3 6 2 4 2 0 0 4 2 1 0 0 0 0 0 0 0 0 ],
[5 2 3 0 0 0 0 5 1 10 2 0 1 0 11 0 13 3 1 9 0 0 6 10 1 31 4 1 1 0 3 38 0 2 3 5 1 0 11 4 0 0 2 3 0 1 3 0 0 0 0 0 0 0 0 ],
[5 1 3 2 3 1 4 9 0 1 2 2 0 0 13 0 6 1 1 0 0 1 11 6 4 10 0 0 2 4 0 35 4 0 4 1 5 1 15 0 8 0 3 2 9 2 1 0 0 0 0 0 0 0 0 ],
[7 11 0 1 0 0 0 6 0 0 3 2 4 0 12 0 8 0 2 5 1 0 17 15 4 11 3 4 3 0 2 46 8 2 0 0 13 4 16 3 1 2 7 2 15 0 0 0 0 0 0 0 0 0 0 ],
[5 16 1 0 3 0 4 5 2 7 0 3 3 0 8 3 14 0 0 0 0 1 7 17 1 30 3 8 2 2 2 26 10 0 2 0 28 0 11 2 9 1 6 2 2 1 3 0 0 0 0 0 0 0 0 ],
[2 15 2 0 2 3 2 6 0 7 2 2 3 0 13 1 17 0 0 5 1 1 6 15 9 16 2 5 1 2 3 30 6 2 0 5 0 3 36 2 5 1 0 0 13 0 2 0 0 0 0 0 0 0 0 ],
[7 10 2 0 0 3 0 1 1 13 0 0 2 0 11 1 13 3 1 9 2 3 17 6 6 40 4 7 1 4 0 28 6 0 3 2 9 0 34 4 4 0 3 1 16 0 1 0 0 0 0 0 0 0 0 ],
[2 14 2 1 2 1 1 5 0 4 0 3 0 0 12 2 9 3 2 5 1 1 14 2 1 34 1 13 3 2 2 10 0 2 3 4 24 0 0 4 1 3 8 1 11 1 0 0 0 0 0 0 0 0 0 ],
[3 1 1 1 0 1 0 9 2 4 0 2 4 0 4 0 1 1 0 6 2 1 3 9 5 29 2 2 2 3 2 40 10 2 4 1 39 4 26 0 8 2 5 3 8 2 2 0 0 0 0 0 0 0 0 ],
[2 1 2 2 0 3 1 8 1 14 0 1 3 0 8 0 11 1 1 6 2 3 7 7 5 31 1 11 0 0 0 18 5 2 4 1 39 3 4 2 0 1 9 3 17 0 1 0 0 0 0 0 0 0 0 ],
[1 15 1 0 0 3 0 8 2 1 1 0 4 0 7 3 3 3 1 6 1 3 10 5 8 23 3 14 1 1 3 46 5 2 2 1 24 0 30 5 9 0 9 0 14 2 0 0 0 0 0 0 0 0 0 ],
[4 10 2 2 0 1 3 7 0 3 0 2 1 0 10 2 14 3 0 3 1 1 12 9 6 23 4 15 3 0 2 31 6 1 1 1 11 0 36 3 8 3 0 0 15 0 0 0 0 0 0 0 0 0 0 ],
[2 5 2 2 0 0 0 8 2 6 3 1 2 0 0 2 14 0 1 9 2 3 6 0 3 16 1 9 3 0 0 46 4 0 2 5 20 4 24 4 8 0 6 0 10 1 2 0 0 0 0 0 0 0 0 ],
[0 17 0 1 0 3 4 0 2 8 2 2 4 0 10 2 10 1 0 4 1 2 2 11 6 43 1 12 4 1 1 21 10 2 0 0 40 3 14 2 0 3 6 1 0 0 3 0 0 0 0 0 0 0 0 ],
[2 12 2 1 0 2 5 3 0 10 3 2 1 0 1 0 16 1 2 7 0 2 8 3 1 17 0 10 1 3 1 50 4 2 1 4 5 4 17 4 7 2 2 1 15 0 2 0 0 0 0 0 0 0 0 ],
[8 10 1 1 0 0 3 0 1 14 3 0 0 0 5 3 5 3 2 6 3 0 0 7 9 10 0 0 3 0 2 4 8 2 2 1 8 1 6 5 5 2 4 2 5 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ],
