T = 40;
S = 12;
C = 78;
t = [5 8 10 6 12 47 39 13 21 14 8 9 33 36 29 30 34 36 12 10 9 16 13 10 15 7 22 26 20 18 13 9 12 14 8 17 13 16 11 14 0 0 0 0 0 0 0 0 0 0 0 0 0 ];
P = {<2,9> <2,23> <2,24> <2,25> <3,8> <4,9> <5,31> <5,32> <5,33> <5,34> <5,35> <5,36> <5,37> <5,38> <5,39> <5,40> <6,10> <7,9> <8,11> <8,12> <9,27> <9,28> <9,29> <9,30> <10,8> <13,1> <14,1> <15,2> <16,2> <17,2> <18,2> <19,4> <20,4> <21,4> <22,4> <23,5> <24,5> <25,5> <26,5> <27,6> <28,6> <29,6> <30,6> <31,7> <32,7> <33,7> <34,7> <35,7> <36,7> <37,7> <38,7> <39,7> <40,7> };
POR = {};
setup = [[0 2 3 2 0 15 12 5 7 4 1 2 15 1 8 11 15 16 1 4 3 3 4 4 1 2 3 0 8 6 2 1 3 2 2 7 4 5 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 0 1 2 5 3 4 1 5 3 1 0 11 8 13 5 14 3 5 4 0 4 0 0 3 1 10 0 6 6 0 3 2 0 3 4 1 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 2 0 0 3 6 15 3 3 4 2 2 13 8 6 5 9 7 3 0 3 2 2 2 0 0 6 11 3 5 2 2 1 6 2 7 1 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 3 1 0 4 0 15 1 1 2 2 0 1 11 13 5 0 16 4 0 3 7 2 1 2 1 10 3 2 1 3 2 3 6 3 2 3 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 0 0 2 0 21 18 2 6 0 0 3 6 3 2 5 4 5 4 2 3 3 3 3 0 2 8 9 4 1 0 2 5 0 2 0 1 7 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 2 1 2 1 0 5 4 4 6 1 2 10 11 3 14 1 4 0 4 2 0 3 1 3 0 8 2 9 4 5 0 0 6 3 7 5 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 1 0 2 2 7 0 1 7 3 0 2 4 6 13 1 2 17 4 1 3 0 2 2 6 0 3 4 3 1 1 1 0 5 2 7 2 7 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 1 2 0 0 7 7 0 9 6 3 2 1 5 10 12 11 1 5 2 3 2 1 2 0 0 4 3 6 5 1 1 5 4 2 4 5 3 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 2 0 2 4 14 8 4 0 2 2 1 1 2 8 2 16 17 1 1 3 0 4 1 0 2 9 0 9 0 5 2 2 0 0 2 2 4 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 1 1 1 0 0 9 0 2 0 2 3 6 8 6 12 10 17 3 3 3 0 0 4 6 2 3 5 7 0 2 3 2 3 0 7 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 2 3 1 0 14 3 3 9 4 0 3 1 2 0 4 2 2 2 3 3 5 5 2 6 2 3 11 7 8 1 2 1 5 1 2 1 1 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 3 4 0 3 9 0 3 8 5 1 0 13 4 3 11 12 0 2 0 0 2 5 1 3 1 4 4 5 5 5 0 3 6 3 6 5 1 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 0 0 1 4 20 4 4 7 5 2 1 0 8 13 1 4 10 2 4 1 0 1 2 0 2 0 8 5 7 5 3 1 0 2 7 4 4 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
