T = 11;
S = 4;
C = 74;
t = [2 2 60 40 10 15 3 15 8 8 45 0 0 0 0 0 ];
P = {<1,2> <1,3> <2,4> <3,4> <4,5> <4,7> <5,6> <6,8> <6,9> <6,10> <7,11> };
POR = {};
setup = [[0 0 22 14 4 4 0 1 3 1 17 0 0 0 0 0 ],
[0 0 3 7 0 6 0 2 1 3 1 0 0 0 0 0 ],
[0 0 0 8 1 4 0 0 1 1 16 0 0 0 0 0 ],
[0 0 7 0 4 5 0 4 0 2 11 0 0 0 0 0 ],
[0 0 0 17 0 6 0 6 3 1 7 0 0 0 0 0 ],
[0 0 22 17 3 0 0 3 2 2 15 0 0 0 0 0 ],
[0 0 27 6 3 4 0 2 3 0 20 0 0 0 0 0 ],
[0 0 28 10 0 2 0 0 3 2 7 0 0 0 0 0 ],
[0 0 4 3 1 0 0 6 0 0 3 0 0 0 0 0 ],
[0 0 0 1 0 2 0 1 0 0 6 0 0 0 0 0 ],
[0 0 10 8 4 1 0 1 3 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
