T = 40;
S = 6;
C = 133;
t = [5 8 10 6 12 47 39 13 21 14 8 9 33 36 29 30 34 36 12 10 9 16 13 10 15 7 22 26 20 18 13 9 12 14 8 17 13 16 11 14 0 0 0 0 0 0 0 ];
P = {<2,9> <2,23> <2,24> <2,25> <3,8> <4,9> <5,31> <5,32> <5,33> <5,34> <5,35> <5,36> <5,37> <5,38> <5,39> <5,40> <6,10> <7,9> <8,11> <8,12> <9,27> <9,28> <9,29> <9,30> <10,8> <13,1> <14,1> <15,2> <16,2> <17,2> <18,2> <19,4> <20,4> <21,4> <22,4> <23,5> <24,5> <25,5> <26,5> <27,6> <28,6> <29,6> <30,6> <31,7> <32,7> <33,7> <34,7> <35,7> <36,7> <37,7> <38,7> <39,7> <40,7> };
POR = {};
setup = [[0 1 1 0 0 0 0 2 2 0 0 1 7 1 1 5 7 7 1 1 1 1 1 1 2 0 4 2 3 2 2 0 0 2 1 3 1 2 1 1 0 0 0 0 0 0 0 ],
[0 0 0 0 2 2 1 1 0 0 0 0 5 8 6 6 3 3 2 1 0 2 0 0 0 0 4 2 1 1 0 1 2 0 1 2 1 0 1 1 0 0 0 0 0 0 0 ],
[0 1 0 0 0 2 4 0 3 1 1 1 6 8 6 4 3 7 0 0 1 1 2 0 1 0 3 5 3 0 2 1 1 0 1 3 1 2 0 0 0 0 0 0 0 0 0 ],
[0 1 0 0 1 2 6 1 1 1 1 0 0 2 6 5 7 7 1 1 1 3 2 1 2 0 4 1 2 0 0 1 0 2 1 1 0 2 0 0 0 0 0 0 0 0 0 ],
[0 0 1 0 0 7 8 2 1 2 0 1 3 3 2 3 3 5 1 0 1 1 0 0 2 0 4 5 4 2 0 1 2 2 1 0 1 3 1 2 0 0 0 0 0 0 0 ],
[0 1 0 0 1 0 4 1 4 1 0 1 5 2 3 5 3 4 0 1 1 0 0 1 0 0 3 5 4 2 2 0 0 2 1 3 2 1 0 0 0 0 0 0 0 0 0 ],
[0 0 1 0 2 8 0 1 2 0 0 1 2 6 6 2 4 8 1 1 1 0 2 0 2 0 1 2 3 3 1 0 0 0 1 3 2 3 0 1 0 0 0 0 0 0 0 ],
[0 0 1 0 0 2 3 0 4 0 1 1 0 5 3 6 1 1 2 1 1 1 1 1 1 0 3 3 1 0 1 0 2 2 1 2 2 1 1 2 0 0 0 0 0 0 0 ],
[0 1 1 0 1 7 4 1 0 0 1 0 0 2 1 2 3 8 1 0 1 0 1 1 1 0 1 0 4 2 2 1 2 1 0 1 2 2 0 0 0 0 0 0 0 0 0 ],
[0 0 1 0 0 2 8 0 2 0 1 1 3 8 6 0 3 8 0 0 1 0 0 1 1 0 1 4 2 0 2 1 2 0 0 3 1 1 0 1 0 0 0 0 0 0 0 ],
[0 1 0 0 0 7 7 0 4 0 0 1 0 2 0 5 6 2 2 0 1 2 2 1 1 0 4 3 2 3 1 1 1 0 0 1 1 0 0 2 0 0 0 0 0 0 0 ],
[0 1 0 0 0 6 2 0 3 0 0 0 6 4 3 0 6 0 2 0 0 1 2 1 2 0 0 5 0 0 2 0 0 1 1 3 2 0 1 0 0 0 0 0 0 0 0 ],
[0 0 1 0 1 6 5 1 2 0 1 0 0 8 6 6 5 1 2 0 0 0 1 1 2 0 4 5 0 1 2 1 1 2 1 3 1 2 1 1 0 0 0 0 0 0 0 ],
