T = 11;
S = 4;
C = 85;
t = [2 2 60 40 10 15 3 15 8 8 45 0 0 0 0 0 ];
P = {<1,2> <1,3> <2,4> <3,4> <4,5> <4,7> <5,6> <6,8> <6,9> <6,10> <7,11> };
POR = {};
setup = [[0 0 37 14 0 3 1 2 5 2 6 0 0 0 0 0 ],
[0 0 3 7 4 0 1 9 1 5 12 0 0 0 0 0 ],
[0 0 0 18 2 4 0 4 3 3 5 0 0 0 0 0 ],
[0 0 37 0 2 4 1 2 3 1 22 0 0 0 0 0 ],
[0 0 0 27 0 10 0 8 4 5 18 0 0 0 0 0 ],
[0 0 7 17 6 0 0 8 4 3 26 0 0 0 0 0 ],
[0 0 12 26 0 7 0 10 5 2 9 0 0 0 0 0 ],
[0 0 13 0 4 2 1 0 4 3 29 0 0 0 0 0 ],
[0 0 4 13 3 9 0 1 0 3 25 0 0 0 0 0 ],
[0 0 0 21 5 7 1 2 0 0 17 0 0 0 0 0 ],
[0 0 25 18 0 1 0 9 4 5 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
