T = 47;
S = 11;
C = 117;
t = [16 32 4 4 4 6 10 16 5 32 4 6 8 2 24 7 32 6 4 16 4 4 32 32 16 88 8 32 6 8 4 104 18 4 8 8 72 8 72 10 16 4 16 4 32 4 4 0 0 0 0 0 0 0 0 0 0 0 0 ];
P = {<1,2> <1,32> <2,3> <2,4> <5,6> <5,32> <8,9> <8,10> <9,11> <9,32> <10,11> <10,12> <13,14> <14,19> <15,16> <16,17> <17,18> <18,20> <18,22> <18,32> <18,47> <19,26> <20,21> <22,23> <22,24> <23,25> <24,25> <26,27> <27,28> <28,29> <29,30> <30,31> <32,33> <33,34> <33,35> <34,36> <35,36> <36,37> <36,43> <37,38> <38,39> <39,40> <40,41> <41,42> <43,44> <44,45> <45,46> };
POR = {};
setup = [[0 3 0 2 2 1 4 7 2 20 2 2 0 0 4 2 18 0 2 6 2 1 2 22 0 18 0 1 1 3 2 32 1 2 3 3 37 5 2 4 2 0 8 0 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 0 2 1 2 3 3 11 2 15 1 3 1 0 11 2 13 3 2 8 2 2 12 21 3 49 2 3 0 4 1 13 4 0 0 5 48 4 8 0 10 1 0 0 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[10 12 0 0 0 3 1 4 1 15 0 0 1 0 4 2 17 0 1 1 1 0 20 2 7 18 1 21 1 0 0 31 4 0 2 0 8 1 48 5 6 1 10 2 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[4 20 0 0 2 0 2 3 2 2 0 3 2 0 12 4 7 0 0 7 2 2 7 8 3 35 0 1 0 1 1 24 6 0 2 0 32 5 11 4 7 1 4 2 13 1 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 15 0 1 0 0 2 2 1 13 0 2 5 0 4 3 15 2 1 5 2 0 10 16 9 60 2 16 2 4 0 9 4 2 2 2 31 5 52 2 3 2 7 0 18 2 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
[9 6 2 1 2 0 3 10 2 9 2 2 4 0 12 4 11 3 2 5 0 0 17 19 3 50 0 6 2 4 2 52 1 2 4 4 7 4 3 5 1 1 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[11 14 0 1 2 0 0 0 1 9 1 2 5 0 17 1 14 3 2 7 0 2 17 15 11 27 3 21 1 0 1 59 3 1 4 3 51 5 17 4 1 2 4 0 13 1 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 11 2 2 0 2 1 0 2 4 1 2 0 0 2 3 11 0 0 10 2 0 13 19 5 64 3 10 1 3 2 58 4 2 0 1 41 5 51 5 10 0 7 2 9 2 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[9 8 2 0 1 0 1 10 0 1 0 2 5 0 7 4 22 3 2 10 1 0 1 14 4 43 3 23 3 4 2 6 3 1 3 0 30 5 34 0 11 0 6 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 4 0 0 0 3 0 9 1 0 1 2 0 0 0 1 17 3 1 11 1 1 0 23 8 33 1 20 3 2 0 38 0 1 2 0 1 4 51 3 2 2 10 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[4 15 2 1 1 2 1 8 0 16 0 0 2 0 1 0 19 2 1 10 0 0 13 12 6 36 2 18 3 1 2 48 9 2 4 0 51 3 47 3 6 2 10 0 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[10 9 1 1 2 0 0 1 0 18 2 0 1 0 16 1 18 2 0 0 2 2 7 1 11 11 4 13 3 1 2 62 8 0 5 4 31 0 47 0 5 0 2 0 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[8 0 0 0 1 3 5 7 2 6 1 1 0 0 10 1 13 3 2 2 1 1 21 12 3 5 1 20 0 2 0 40 1 2 4 3 36 3 46 1 9 0 11 1 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 3 0 2 1 1 2 4 2 12 0 2 2 0 13 4 8 1 1 2 1 0 8 4 9 33 5 7 3 0 1 25 1 0 5 0 11 1 1 2 3 2 9 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 10 2 2 2 1 2 11 1 11 0 0 1 0 0 1 5 1 1 9 0 1 7 11 3 64 5 17 2 0 1 63 12 1 1 3 19 4 20 3 5 1 2 0 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[5 10 1 1 0 3 2 7 0 6 1 3 0 0 2 0 14 1 2 5 2 2 15 14 7 20 3 13 3 4 0 76 2 1 0 0 53 3 45 6 11 2 4 2 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[10 1 2 2 1 2 3 3 1 22 0 1 2 0 17 3 0 2 1 9 2 2 11 7 7 35 5 15 3 0 2 7 6 0 5 3 48 4 46 6 4 0 5 1 14 2 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 9 1 0 0 3 5 6 2 18 1 3 3 0 10 2 7 0 1 11 1 2 1 9 9 39 2 23 3 3 2 69 10 0 5 4 5 0 12 5 7 1 5 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 20 2 0 2 0 5 7 0 9 1 2 2 0 1 2 0 1 0 4 2 0 5 5 4 47 1 7 3 2 0 62 10 2 5 0 36 1 9 1 2 2 1 2 12 2 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[8 22 2 2 1 2 0 6 1 3 1 0 4 0 17 0 2 0 2 0 1 2 6 18 11 17 4 17 1 1 2 61 12 0 0 1 17 4 25 6 5 1 5 2 4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
