T = 25;
S = 5;
C = 51;
t = [3 2 3 10 10 15 15 15 15 2 2 2 2 2 2 2 2 3 18 5 1 5 15 2 2 0 0 0 0 0 0 ];
P = {<1,3> <2,3> <2,6> <2,7> <2,8> <3,9> <4,10> <5,10> <6,13> <6,14> <6,15> <6,16> <7,13> <7,14> <7,15> <7,16> <8,13> <8,14> <8,15> <8,16> <9,13> <9,14> <9,15> <9,16> <10,11> <11,12> <13,17> <13,19> <14,17> <14,19> <15,18> <16,19> <16,23> <17,20> <17,21> <18,19> <19,24> <21,22> <21,25> <22,23> <23,24> };
POR = {};
setup = [[0 1 0 0 7 14 11 9 2 1 1 1 0 0 1 0 1 1 4 2 0 3 8 1 1 0 0 0 0 0 0 ],
[1 0 1 2 7 12 8 11 11 1 1 1 0 1 0 1 0 2 5 2 0 1 10 0 1 0 0 0 0 0 0 ],
[0 0 0 1 5 13 11 8 6 0 0 1 0 1 1 1 0 0 14 3 0 0 6 0 1 0 0 0 0 0 0 ],
[2 1 2 0 2 12 4 4 9 1 0 1 1 1 0 1 1 2 3 0 0 2 13 0 1 0 0 0 0 0 0 ],
[1 1 2 6 0 11 13 11 10 1 0 0 1 0 0 0 0 2 0 1 0 4 10 1 0 0 0 0 0 0 0 ],
[1 1 1 7 9 0 3 14 13 1 1 1 0 0 1 1 0 1 7 3 0 4 7 0 1 0 0 0 0 0 0 ],
[1 0 0 4 4 5 0 12 0 0 0 0 1 0 1 0 1 2 11 4 0 1 0 0 1 0 0 0 0 0 0 ],
[2 1 2 8 0 9 12 0 0 0 1 1 0 1 0 1 0 2 4 1 0 2 11 1 0 0 0 0 0 0 0 ],
[1 1 1 0 8 14 6 5 0 1 0 1 1 1 1 1 0 2 9 1 0 3 12 1 1 0 0 0 0 0 0 ],
[2 1 0 4 2 11 4 7 13 0 0 0 0 0 0 1 1 2 10 4 0 3 1 1 0 0 0 0 0 0 0 ],
[0 1 1 7 6 13 10 12 6 1 0 0 1 1 0 1 0 0 4 1 0 1 13 1 0 0 0 0 0 0 0 ],
[2 1 2 2 7 10 12 6 6 1 0 0 0 0 0 1 0 1 1 1 0 4 13 0 0 0 0 0 0 0 0 ],
[0 1 2 4 8 0 4 4 3 1 0 1 0 0 1 1 1 1 6 1 0 4 6 1 1 0 0 0 0 0 0 ],
[0 0 1 4 2 2 10 5 5 0 0 0 1 0 0 1 0 1 6 1 0 1 6 0 0 0 0 0 0 0 0 ],
[2 0 2 2 0 14 11 9 4 1 1 1 0 0 0 0 1 2 8 2 0 4 13 0 1 0 0 0 0 0 0 ],
[0 0 2 3 0 2 5 13 8 0 0 1 1 0 1 0 0 2 2 3 0 0 13 1 0 0 0 0 0 0 0 ],
[0 0 1 6 6 3 14 9 12 0 1 1 1 1 1 1 0 0 5 1 0 3 1 0 1 0 0 0 0 0 0 ],
[0 0 2 8 4 13 11 14 7 0 1 0 1 1 0 1 1 0 5 0 0 0 6 1 0 0 0 0 0 0 0 ],
[1 1 0 7 2 11 1 9 4 1 0 1 0 0 1 0 1 2 0 3 0 4 2 0 0 0 0 0 0 0 0 ],
[1 1 1 1 4 10 14 14 9 0 1 0 1 0 0 1 1 1 8 0 0 4 0 0 0 0 0 0 0 0 0 ],
[2 0 0 8 4 2 12 5 3 1 1 1 0 0 0 1 1 1 10 0 0 2 4 1 1 0 0 0 0 0 0 ],
[1 1 0 8 0 12 6 3 2 0 0 0 1 0 0 1 1 2 15 0 0 0 0 1 0 0 0 0 0 0 0 ],
[2 1 1 1 5 7 13 0 2 0 0 0 1 0 0 0 0 0 3 4 0 3 0 1 1 0 0 0 0 0 0 ],
[1 1 1 6 3 14 14 10 11 1 1 1 1 1 1 1 0 0 14 3 0 2 3 0 1 0 0 0 0 0 0 ],
[2 0 1 1 4 8 9 0 6 0 1 0 0 1 0 0 0 2 6 1 0 3 3 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
