T = 10;
S = 6;
C = 40;
t = [14 10 12 18 23 16 20 36 14 10 0 0 0 0 0 0 0 ];
P = {<8,4> <8,7> <7,5> <7,6> };
POR = {<2,1> <2,8> <2,9> <2,10> <3,1> <3,8> <3,9> <3,10> };
setup = [[0 1 0 2 1 0 3 4 0 0 0 0 0 0 0 0 0 ],
[0 0 1 3 0 1 3 6 1 1 0 0 0 0 0 0 0 ],
[1 1 0 1 2 3 0 7 2 1 0 0 0 0 0 0 0 ],
[0 0 2 0 4 1 1 5 2 0 0 0 0 0 0 0 0 ],
[0 1 2 1 0 1 2 2 1 1 0 0 0 0 0 0 0 ],
[0 1 0 3 2 0 3 1 2 0 0 0 0 0 0 0 0 ],
[1 1 2 1 3 3 0 2 1 1 0 0 0 0 0 0 0 ],
[2 0 2 3 1 2 3 0 0 1 0 0 0 0 0 0 0 ],
[2 0 0 3 0 0 2 2 0 0 0 0 0 0 0 0 0 ],
[0 0 2 1 2 1 1 5 1 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
