T = 9;
S = 6;
C = 40;
t = [12 15 10 14 16 18 20 15 24 0 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <1,4> <1,6> <1,7> <1,8> <2,9> <3,9> <4,9> <6,5> <6,9> <7,9> <8,5> <9,8> };
POR = {};
setup = [[0 4 3 1 3 8 4 0 10 0 0 0 0 0 0 0 ],
[4 0 3 5 1 1 3 2 10 0 0 0 0 0 0 0 ],
[2 0 0 0 3 2 2 4 11 0 0 0 0 0 0 0 ],
[2 2 3 0 6 3 2 5 10 0 0 0 0 0 0 0 ],
[0 3 3 3 0 0 0 6 2 0 0 0 0 0 0 0 ],
[1 6 2 5 0 0 2 2 0 0 0 0 0 0 0 0 ],
[4 5 2 0 3 3 0 2 1 0 0 0 0 0 0 0 ],
[2 6 4 4 4 7 6 0 3 0 0 0 0 0 0 0 ],
[4 6 3 1 1 2 9 2 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
