T = 40;
S = 11;
C = 98;
t = [5 8 10 6 12 47 39 13 21 14 8 9 33 36 29 30 34 36 12 10 9 16 13 10 15 7 22 26 20 18 13 9 12 14 8 17 13 16 11 14 0 0 0 0 0 0 0 0 0 0 0 0 ];
P = {<2,9> <2,23> <2,24> <2,25> <3,8> <4,9> <5,31> <5,32> <5,33> <5,34> <5,35> <5,36> <5,37> <5,38> <5,39> <5,40> <6,10> <7,9> <8,11> <8,12> <9,27> <9,28> <9,29> <9,30> <10,8> <13,1> <14,1> <15,2> <16,2> <17,2> <18,2> <19,4> <20,4> <21,4> <22,4> <23,5> <24,5> <25,5> <26,5> <27,6> <28,6> <29,6> <30,6> <31,7> <32,7> <33,7> <34,7> <35,7> <36,7> <37,7> <38,7> <39,7> <40,7> };
POR = {};
setup = [[0 5 6 0 0 32 27 8 12 6 4 2 12 19 1 3 20 7 1 4 0 9 4 3 6 2 0 2 8 12 2 5 3 7 0 4 1 8 6 6 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 0 1 1 8 22 18 7 0 7 1 1 18 8 6 20 4 12 8 5 2 9 6 4 2 0 10 10 1 1 3 5 5 3 0 9 7 2 7 3 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 3 0 2 0 30 19 3 3 8 3 0 21 26 20 16 12 25 0 4 5 0 8 0 10 2 0 10 3 9 2 3 1 9 5 8 4 7 1 7 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 1 0 7 21 4 7 6 3 3 4 23 20 13 4 16 7 7 1 2 11 8 0 4 3 15 6 2 3 0 4 3 5 3 11 3 6 2 3 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 2 1 1 0 25 22 8 1 4 3 1 10 21 9 18 8 23 4 1 0 5 3 1 3 2 14 10 9 7 3 3 2 9 3 5 7 6 4 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 2 4 2 7 0 25 4 14 3 4 1 23 11 3 15 4 22 3 1 4 2 3 5 5 4 10 17 14 9 2 2 3 3 0 8 8 7 3 9 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 1 0 2 5 10 0 4 7 2 5 2 23 6 6 3 18 26 7 3 1 11 2 2 0 4 0 7 8 11 4 0 3 9 3 3 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 5 0 3 8 10 0 9 1 0 0 15 5 10 3 13 1 5 1 1 7 4 2 9 4 12 15 1 9 1 4 8 0 1 7 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 0 4 0 7 6 13 7 0 2 0 0 0 11 8 21 18 8 7 6 2 7 1 1 6 4 14 9 4 1 5 1 5 6 3 8 8 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 5 5 2 6 32 1 6 2 0 3 5 19 26 13 14 15 8 6 1 3 11 3 0 4 4 13 5 7 10 2 1 8 5 4 8 4 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 4 2 0 0 4 11 0 4 3 0 0 14 2 0 3 9 20 2 1 2 3 8 2 7 1 10 14 12 5 7 2 1 0 0 5 1 3 2 9 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 2 0 3 6 31 25 3 13 6 0 0 15 4 17 2 23 9 5 6 1 7 2 6 7 1 10 15 10 3 5 4 3 1 1 5 5 3 4 8 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 3 2 3 1 10 14 7 7 7 5 5 0 26 20 5 5 1 2 4 5 1 7 2 5 3 11 0 0 12 2 1 1 2 0 9 1 7 5 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 3 6 3 5 26 2 1 12 6 5 3 8 0 5 12 14 1 3 6 4 1 2 4 8 1 8 16 10 11 4 0 1 9 0 2 0 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 3 3 2 1 17 3 0 12 3 4 4 1 0 0 17 22 0 4 0 0 8 7 1 5 3 10 12 11 0 2 2 5 8 5 6 8 8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 0 6 0 2 15 6 6 9 6 2 5 23 25 18 0 16 2 6 3 5 11 4 5 5 1 2 5 1 10 8 5 4 6 0 10 4 7 5 4 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 5 6 2 3 8 2 4 3 9 1 4 23 19 13 19 0 8 0 4 1 5 5 4 4 4 9 16 12 3 0 2 5 8 3 1 2 9 6 6 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 0 6 3 2 11 9 3 10 0 5 4 19 26 18 2 3 0 3 2 0 3 0 1 7 0 12 16 0 4 3 5 2 6 5 3 8 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 5 1 0 0 12 24 0 7 3 3 0 11 10 1 8 18 12 0 1 1 11 8 3 10 3 5 10 5 11 6 0 0 8 0 4 8 7 6 6 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 1 2 2 7 24 2 1 0 4 4 5 11 26 18 0 8 25 5 0 0 11 4 2 10 0 0 2 4 4 8 5 8 8 2 5 1 10 5 8 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 2 4 3 4 12 18 4 3 1 3 0 22 24 15 17 0 25 8 6 0 5 8 3 10 2 1 12 2 1 8 0 2 1 4 2 3 4 7 4 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 2 6 1 0 24 25 4 10 7 0 1 22 5 6 20 8 17 1 5 0 0 4 4 0 2 6 9 13 11 5 0 0 5 0 9 5 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 ],
