T = 22;
S = 5;
C = 66;
t = [10 6 12 17 9 19 9 15 6 11 1 19 12 6 4 17 10 6 16 7 14 19 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <2,11> <2,12> <3,4> <5,8> <5,9> <7,13> <7,14> <12,20> <15,19> <22,5> <22,6> <22,7> };
POR = {<2,22> <4,16> <4,22> <6,10> <6,17> <7,15> <8,10> <9,15> <9,18> <10,15> <11,16> <12,21> <13,17> <14,18> <16,21> };
setup = [[0 1 3 1 1 2 0 4 2 0 0 8 3 1 0 0 1 1 5 0 4 6 0 0 0 0 0 0 ],
[1 0 0 0 3 2 3 3 2 4 0 8 1 2 1 4 0 0 0 2 0 4 0 0 0 0 0 0 ],
[3 2 0 4 1 8 2 4 2 0 0 1 0 1 1 0 2 2 2 1 6 3 0 0 0 0 0 0 ],
[3 2 4 0 0 4 1 2 1 1 0 3 0 0 0 6 1 1 4 0 5 1 0 0 0 0 0 0 ],
[2 1 4 7 0 0 0 0 2 2 0 6 1 1 1 0 4 1 4 0 1 5 0 0 0 0 0 0 ],
[2 2 4 1 3 0 0 4 0 1 0 4 5 2 0 1 2 2 3 1 4 0 0 0 0 0 0 0 ],
[1 0 2 1 1 1 0 2 1 3 0 5 5 1 0 7 2 0 3 1 0 0 0 0 0 0 0 0 ],
[2 1 2 5 2 2 2 0 2 3 0 5 4 2 0 2 3 0 5 0 5 6 0 0 0 0 0 0 ],
[2 2 0 1 1 5 2 0 0 4 0 5 5 1 1 6 0 1 7 0 0 4 0 0 0 0 0 0 ],
[3 2 0 2 1 0 1 2 2 0 0 1 2 2 0 6 4 1 5 1 6 3 0 0 0 0 0 0 ],
[4 2 5 3 2 3 3 4 2 0 0 5 2 1 0 5 1 1 2 1 6 6 0 0 0 0 0 0 ],
[0 2 2 6 2 1 0 5 0 2 0 0 4 1 0 3 4 2 5 2 0 5 0 0 0 0 0 0 ],
[0 2 2 6 1 1 2 0 2 1 0 2 0 2 0 1 2 2 3 0 3 8 0 0 0 0 0 0 ],
[4 2 3 1 0 5 1 3 2 4 0 2 4 0 0 5 2 2 5 0 3 6 0 0 0 0 0 0 ],
[4 0 0 0 2 0 3 4 2 4 0 3 2 0 0 3 4 0 3 2 5 4 0 0 0 0 0 0 ],
[4 0 3 3 2 3 1 6 0 2 0 6 2 1 1 0 2 1 2 1 0 7 0 0 0 0 0 0 ],
[0 2 2 0 2 2 0 2 2 4 0 0 1 2 1 1 0 0 0 1 1 6 0 0 0 0 0 0 ],
[2 1 2 2 1 2 1 3 2 4 0 4 1 1 0 5 1 0 4 1 4 8 0 0 0 0 0 0 ],
[3 0 1 2 0 8 2 0 0 4 0 4 3 1 0 4 0 1 0 1 1 7 0 0 0 0 0 0 ],
[3 1 0 6 3 2 1 3 2 0 0 4 4 0 1 4 1 1 5 0 4 1 0 0 0 0 0 0 ],
[3 2 1 5 0 3 2 5 0 1 0 8 5 2 1 5 0 1 1 1 0 2 0 0 0 0 0 0 ],
[3 2 0 4 1 8 2 5 1 1 0 6 3 1 1 7 2 1 3 0 4 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
