T = 9;
S = 8;
C = 35;
t = [12 15 10 14 16 18 20 15 24 0 0 0 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <1,4> <1,6> <1,7> <1,8> <2,9> <3,9> <4,9> <6,5> <6,9> <7,9> <8,5> <9,8> };
POR = {};
setup = [[0 0 8 1 6 8 4 14 22 0 0 0 0 0 0 0 0 0 ],
[10 0 8 5 2 1 3 12 10 0 0 0 0 0 0 0 0 0 ],
[8 12 0 0 7 2 12 10 11 0 0 0 0 0 0 0 0 0 ],
[2 14 8 0 13 3 2 10 22 0 0 0 0 0 0 0 0 0 ],
[0 1 3 3 0 9 0 0 2 0 0 0 0 0 0 0 0 0 ],
[7 5 7 5 0 0 12 0 0 0 0 0 0 0 0 0 0 0 ],
[4 2 2 7 7 3 0 6 1 0 0 0 0 0 0 0 0 0 ],
[2 4 4 4 9 7 6 0 3 0 0 0 0 0 0 0 0 0 ],
[10 6 8 8 2 2 19 1 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
