T = 22;
S = 17;
C = 24;
t = [10 6 12 17 9 19 9 15 6 11 1 19 12 6 4 17 10 6 16 7 14 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <2,11> <2,12> <3,4> <5,8> <5,9> <7,13> <7,14> <12,20> <15,19> <22,5> <22,6> <22,7> };
POR = {<2,22> <4,16> <4,22> <6,10> <6,17> <7,15> <8,10> <9,15> <9,18> <10,15> <11,16> <12,21> <13,17> <14,18> <16,21> };
setup = [[0 1 3 14 3 17 5 7 2 7 0 11 1 1 0 10 0 1 6 4 8 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[8 0 2 10 2 5 6 8 3 5 0 3 4 3 1 4 5 2 10 0 13 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 4 0 7 0 17 2 10 1 5 0 4 0 3 2 2 6 3 12 4 12 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[1 4 6 0 6 2 1 0 0 9 0 17 1 4 2 8 2 1 13 3 8 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[6 0 4 7 0 3 6 4 4 1 0 2 1 0 2 1 2 4 15 0 13 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 0 0 11 4 0 8 2 0 3 0 15 2 4 1 5 6 3 10 5 6 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 4 4 8 2 15 0 10 0 9 0 9 4 2 3 11 0 2 10 6 4 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[5 3 8 0 8 0 1 0 1 7 0 18 5 3 3 1 4 3 7 2 12 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[4 2 11 7 8 6 5 1 0 1 0 1 1 2 1 6 4 4 3 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 2 8 2 1 8 4 4 4 0 0 13 4 5 1 2 2 0 14 4 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[9 2 10 2 0 18 4 10 1 0 0 14 2 2 0 9 1 1 3 5 11 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[8 1 0 10 7 10 1 14 0 4 0 0 5 2 3 15 9 4 13 3 5 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 1 8 14 2 4 6 13 5 2 0 11 0 1 0 1 5 1 5 1 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[4 0 3 1 7 3 4 0 0 10 0 14 10 0 0 14 5 2 6 0 12 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[3 5 6 2 2 10 4 9 0 6 0 11 9 3 0 11 4 0 13 3 5 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[2 4 11 8 7 11 2 11 2 7 0 3 3 1 1 0 4 3 3 3 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 1 4 1 6 16 4 14 2 2 0 1 4 5 0 5 0 1 7 0 13 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[8 1 1 8 0 15 1 7 4 2 0 3 0 1 0 11 8 0 3 0 12 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[7 5 4 0 1 17 2 13 5 4 0 14 8 4 0 15 1 3 0 3 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[3 4 1 3 4 4 8 3 5 7 0 17 5 5 2 0 0 0 0 0 5 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 2 11 7 3 12 8 5 3 9 0 17 9 1 3 6 7 4 7 4 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[4 4 11 2 8 9 2 14 5 9 0 18 8 0 3 2 8 1 15 5 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
