T = 34;
S = 8;
C = 79;
t = [18 1 4 6 11 17 1 14 7 13 7 8 9 5 8 14 20 7 17 13 12 8 19 20 6 10 4 16 3 5 17 4 8 16 0 0 0 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <2,4> <3,11> <3,12> <6,7> <6,17> <8,9> <12,13> <12,14> <12,15> <14,19> <14,22> <15,20> <15,21> <20,26> <20,27> <32,6> <32,16> <33,23> <33,24> <34,8> <34,18> };
POR = {<3,31> <4,5> <4,31> <5,32> <7,34> <9,10> <11,5> <13,32> <16,33> <17,29> <18,30> <19,25> <21,25> <22,33> <23,34> <24,28> <25,28> <26,28> <27,29> <28,30> <29,30> <30,10> };
setup = [[0 0 3 3 6 2 0 11 4 5 6 4 0 0 1 0 6 2 0 11 7 6 5 4 2 8 2 12 2 4 3 0 3 1 0 0 0 0 0 0 0 0 0 ],
[12 0 2 5 0 8 0 6 4 0 4 0 4 1 2 5 2 3 15 5 8 3 9 13 4 5 2 2 1 0 12 2 0 14 0 0 0 0 0 0 0 0 0 ],
[11 0 0 0 3 15 0 3 2 5 3 6 6 3 2 13 13 4 8 7 8 6 10 14 5 4 2 15 1 4 9 1 4 15 0 0 0 0 0 0 0 0 0 ],
[4 0 0 0 10 14 0 13 4 12 5 2 5 1 6 9 13 2 15 4 4 7 0 14 4 7 1 9 2 3 15 0 3 10 0 0 0 0 0 0 0 0 0 ],
[17 0 3 5 0 10 0 5 4 9 1 1 6 2 2 0 2 0 15 12 1 5 5 8 2 3 2 7 1 4 1 0 6 1 0 0 0 0 0 0 0 0 0 ],
[8 0 0 1 9 0 0 0 3 11 4 5 5 0 4 4 1 4 0 8 9 7 17 4 3 9 3 9 2 2 6 2 7 0 0 0 0 0 0 0 0 0 0 ],
[10 0 1 0 8 11 0 13 3 6 5 3 5 2 3 5 3 6 16 12 11 7 4 14 5 7 1 10 2 3 11 2 3 8 0 0 0 0 0 0 0 0 0 ],
[10 0 0 1 9 16 0 0 3 0 2 4 7 0 3 2 3 0 16 0 3 4 13 18 1 8 0 3 1 4 6 0 4 8 0 0 0 0 0 0 0 0 0 ],
[5 0 1 2 6 13 0 10 0 11 1 4 4 3 2 3 15 5 6 9 7 1 11 7 3 4 0 12 1 1 6 2 3 15 0 0 0 0 0 0 0 0 0 ],
[15 0 2 3 3 3 0 1 2 0 6 2 8 2 6 10 11 1 15 2 2 7 9 13 5 8 3 1 2 3 7 1 0 11 0 0 0 0 0 0 0 0 0 ],
[14 0 2 5 7 6 0 5 2 5 0 4 8 4 2 2 3 2 14 6 8 3 10 10 0 6 3 6 1 2 5 0 4 3 0 0 0 0 0 0 0 0 0 ],
