T = 10;
S = 4;
C = 72;
t = [14 10 12 18 23 16 20 36 14 10 0 0 0 0 0 ];
P = {<8,4> <8,7> <7,5> <7,6> };
POR = {<2,1> <2,8> <2,9> <2,10> <3,1> <3,8> <3,9> <3,10> };
setup = [[0 6 0 10 13 1 13 4 9 2 0 0 0 0 0 ],
[8 0 7 9 15 6 8 6 3 3 0 0 0 0 0 ],
[5 7 0 5 8 13 0 16 1 0 0 0 0 0 0 ],
[9 4 2 0 4 4 1 5 12 4 0 0 0 0 0 ],
[0 8 5 17 0 6 17 29 9 2 0 0 0 0 0 ],
[11 9 6 6 2 0 8 19 0 5 0 0 0 0 0 ],
[11 5 5 2 21 13 0 11 2 2 0 0 0 0 0 ],
[1 3 5 2 8 11 18 0 12 9 0 0 0 0 0 ],
[3 2 3 4 2 0 12 2 0 0 0 0 0 0 0 ],
[7 8 8 4 7 4 11 5 8 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
