T = 9;
S = 5;
C = 41;
t = [12 15 10 14 16 18 20 15 24 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <1,4> <1,6> <1,7> <1,8> <2,9> <3,9> <4,9> <6,5> <6,9> <7,9> <8,5> <9,8> };
POR = {};
setup = [[0 0 0 1 1 0 4 2 4 0 0 0 0 0 0 ],
[1 0 1 1 0 3 3 0 4 0 0 0 0 0 0 ],
[2 0 0 0 1 1 2 1 5 0 0 0 0 0 0 ],
[2 2 1 0 3 0 2 1 4 0 0 0 0 0 0 ],
[0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 ],
[1 2 1 0 0 0 2 0 0 0 0 0 0 0 0 ],
[1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 ],
[2 1 0 2 2 0 1 0 3 0 0 0 0 0 0 ],
[1 0 0 1 0 1 4 1 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
