T = 47;
S = 3;
C = 371;
t = [16 32 4 4 4 6 10 16 5 32 4 6 8 2 24 7 32 6 4 16 4 4 32 32 16 88 8 32 6 8 4 104 18 4 8 8 72 8 72 10 16 4 16 4 32 4 4 0 0 0 0 ];
P = {<1,2> <1,32> <2,3> <2,4> <5,6> <5,32> <8,9> <8,10> <9,11> <9,32> <10,11> <10,12> <13,14> <14,19> <15,16> <16,17> <17,18> <18,20> <18,22> <18,32> <18,47> <19,26> <20,21> <22,23> <22,24> <23,25> <24,25> <26,27> <27,28> <28,29> <29,30> <30,31> <32,33> <33,34> <33,35> <34,36> <35,36> <36,37> <36,43> <37,38> <38,39> <39,40> <40,41> <41,42> <43,44> <44,45> <45,46> };
POR = {};
setup = [[0 11 1 1 0 1 3 2 1 13 0 2 3 0 10 1 13 0 0 6 0 0 2 5 3 18 2 15 2 1 1 6 0 0 1 0 19 1 2 1 6 0 6 1 6 0 1 0 0 0 0 ],
[6 0 1 0 1 2 1 0 0 3 1 1 0 0 11 2 7 0 1 3 0 1 8 0 2 27 3 13 0 3 1 39 6 1 2 0 30 3 8 4 2 1 7 1 3 0 1 0 0 0 0 ],
[5 7 0 0 0 2 1 0 1 9 0 2 1 0 4 1 14 0 0 5 0 1 6 3 1 40 1 12 1 1 0 5 1 1 0 0 26 3 12 4 7 1 2 0 12 1 1 0 0 0 0 ],
[0 4 1 0 1 1 2 0 1 11 0 2 3 0 6 1 3 0 1 2 1 1 12 6 6 13 0 3 2 2 1 50 7 0 1 2 14 1 29 3 6 0 4 1 12 0 1 0 0 0 0 ],
[3 11 0 0 0 2 1 7 0 3 0 2 2 0 10 0 13 1 0 7 1 0 3 11 2 38 3 5 1 3 1 9 8 0 2 2 31 0 16 3 7 1 0 1 15 1 0 0 0 0 0 ],
[4 1 1 1 1 0 2 7 1 14 0 1 2 0 6 0 15 1 0 3 1 1 14 10 2 28 3 9 2 1 0 0 4 1 2 0 25 0 21 4 4 0 5 0 9 1 0 0 0 0 0 ],
[3 8 1 1 1 2 0 5 0 8 1 0 0 0 11 1 0 1 0 0 1 1 1 8 4 27 2 3 2 0 1 7 5 1 1 1 15 1 35 3 6 1 1 1 2 1 0 0 0 0 0 ],
[3 4 1 0 0 1 0 0 1 11 1 0 2 0 8 1 3 1 1 7 0 1 15 14 1 20 2 7 2 2 1 32 3 0 1 0 5 1 33 3 2 1 2 0 2 0 0 0 0 0 0 ],
[2 15 1 0 1 0 2 4 0 3 1 0 3 0 1 1 3 1 0 3 0 0 13 5 4 43 1 15 2 2 0 6 5 0 1 3 12 2 34 2 1 1 4 1 3 1 1 0 0 0 0 ],
[2 11 0 1 0 0 1 0 1 0 0 2 1 0 0 2 13 0 0 2 0 1 15 13 6 33 3 8 0 2 0 12 2 0 2 1 1 2 15 4 4 1 1 0 11 0 1 0 0 0 0 ],
[1 0 0 0 1 0 1 7 0 12 0 1 0 0 1 0 15 1 1 7 0 1 5 8 6 36 1 5 1 1 1 22 5 1 1 0 15 3 29 4 0 0 5 0 11 0 0 0 0 0 0 ],
