T = 22;
S = 4;
C = 88;
t = [10 6 12 17 9 19 9 15 6 11 1 19 12 6 4 17 10 6 16 7 14 19 0 0 0 0 0 ];
P = {<1,2> <1,3> <2,11> <2,12> <3,4> <5,8> <5,9> <7,13> <7,14> <12,20> <15,19> <22,5> <22,6> <22,7> };
POR = {<2,22> <4,16> <4,22> <6,10> <6,17> <7,15> <8,10> <9,15> <9,18> <10,15> <11,16> <12,21> <13,17> <14,18> <16,21> };
setup = [[0 0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 2 0 2 3 0 0 0 0 0 ],
[0 0 0 0 1 0 1 0 0 1 0 2 1 0 0 2 0 0 0 0 0 3 0 0 0 0 0 ],
[1 0 0 2 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 ],
[0 0 1 0 0 3 0 0 0 1 0 0 0 0 0 3 0 0 2 0 0 1 0 0 0 0 0 ],
[1 0 1 3 0 3 0 1 0 1 0 1 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0 ],
[1 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 1 0 0 0 0 0 0 ],
[0 0 2 0 0 3 0 1 0 1 0 3 2 0 0 3 1 0 1 0 2 3 0 0 0 0 0 ],
[1 0 2 2 1 2 1 0 0 1 0 1 1 0 0 1 1 0 2 0 2 2 0 0 0 0 0 ],
[1 0 0 0 0 3 1 1 0 1 0 1 2 0 0 3 0 0 3 0 0 2 0 0 0 0 0 ],
[0 0 0 1 0 0 0 2 0 0 0 2 2 0 0 3 0 0 2 0 2 1 0 0 0 0 0 ],
[0 0 2 1 1 2 1 1 0 1 0 2 2 0 0 2 1 0 1 0 1 3 0 0 0 0 0 ],
[0 0 2 3 1 3 0 0 0 1 0 0 1 0 0 1 0 0 2 0 0 2 0 0 0 0 0 ],
[1 0 2 3 0 3 1 2 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 ],
[1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 2 0 0 2 0 1 0 0 0 0 0 0 ],
[0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 1 0 0 1 0 1 1 0 0 0 0 0 ],
[1 0 0 1 1 1 0 0 0 1 0 3 2 0 0 0 1 0 1 0 1 2 0 0 0 0 0 ],
[1 0 2 0 1 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 2 1 0 3 0 1 0 0 0 0 1 0 0 2 1 0 2 0 1 1 0 0 0 0 0 ],
[1 0 1 1 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 ],
[0 0 0 3 1 1 0 1 0 1 0 1 1 0 0 2 1 0 2 0 0 2 0 0 0 0 0 ],
[1 0 1 2 0 2 1 2 0 1 0 0 2 0 0 2 1 0 0 0 0 2 0 0 0 0 0 ],
[1 0 0 2 0 1 1 0 0 0 0 1 0 0 0 3 1 0 1 0 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
