T = 60;
S = 3;
C = 278;
t = [14 19 9 5 2 4 14 1 16 17 1 6 1 11 9 19 19 1 12 1 18 11 19 12 15 20 6 7 15 6 8 8 19 4 10 11 18 11 13 9 1 13 15 20 2 2 6 5 19 3 17 17 5 1 14 12 18 2 1 19 0 0 0 0 ];
P = {<1,2> <1,3> <2,4> <3,11> <3,12> <5,35> <6,7> <6,17> <6,43> <8,9> <12,13> <12,14> <12,15> <12,48> <14,19> <14,22> <15,20> <15,21> <20,26> <20,27> <20,49> <25,55> <26,52> <27,53> <30,58> <32,6> <32,16> <32,40> <33,23> <33,24> <34,8> <34,18> <35,36> <35,37> <35,38> <36,39> <36,40> <38,42> <38,43> <42,7> <44,47> <45,10> <46,34> <47,8> <48,49> <48,50> <48,51> <49,52> <49,53> <50,15> <51,55> <51,56> <57,60> <59,28> <60,29> };
POR = {<3,31> <4,5> <4,31> <5,32> <7,34> <9,10> <11,5> <13,32> <16,33> <17,29> <18,30> <19,25> <21,25> <22,33> <23,34> <24,28> <25,28> <26,28> <27,29> <28,30> <29,30> <30,10> <37,41> <37,45> <38,44> <39,41> <40,44> <40,46> <41,44> <42,45> <43,46> <50,54> <50,58> <51,57> <52,54> <53,57> <53,59> <54,57> <55,58> <56,59> };
setup = [[0 2 3 2 0 1 5 0 4 6 0 1 0 2 5 5 4 0 3 0 9 7 13 0 7 8 3 0 8 3 5 0 4 0 1 1 12 7 8 1 0 7 5 6 0 0 3 0 9 0 7 6 2 0 3 7 3 0 0 13 0 0 0 0 ],
[5 0 4 2 0 2 1 0 2 3 0 0 0 4 0 5 9 0 2 0 4 4 2 8 3 8 1 1 6 0 5 4 11 1 4 5 10 4 5 4 0 2 6 4 0 0 2 2 12 1 7 5 2 0 3 7 4 0 0 7 0 0 0 0 ],
[5 13 0 1 0 2 5 0 4 6 0 3 0 7 0 1 3 0 8 0 0 0 1 0 5 3 3 1 7 2 4 2 9 1 5 1 4 3 0 1 0 5 2 0 0 0 0 0 10 1 3 10 0 0 3 5 0 0 0 1 0 0 0 0 ],
[2 5 2 0 0 0 8 0 6 6 0 3 0 2 5 9 10 0 1 0 7 6 4 3 5 2 1 3 7 0 0 5 10 2 2 0 8 3 6 5 0 1 4 8 0 0 2 1 13 1 7 10 2 0 6 3 0 0 0 7 0 0 0 0 ],
[2 12 3 2 0 0 5 0 1 3 0 0 0 4 3 12 5 0 3 0 10 4 2 2 8 11 0 4 5 2 5 3 0 0 6 6 9 1 2 4 0 6 4 10 0 0 1 1 12 1 0 5 1 0 0 7 12 0 0 6 0 0 0 0 ],
[5 0 5 0 0 0 3 0 0 5 0 2 0 2 5 0 5 0 7 0 3 3 7 4 4 8 2 4 7 3 5 4 10 2 6 6 3 7 0 3 0 3 10 13 0 0 2 2 7 1 1 7 2 0 1 1 8 0 0 0 0 0 0 0 ],
[9 3 3 1 0 0 0 0 4 8 0 1 0 1 2 3 1 0 1 0 0 5 10 3 1 7 2 3 8 3 5 2 4 2 1 4 9 7 2 0 0 5 5 4 0 0 3 0 9 0 2 1 1 0 0 3 3 0 0 4 0 0 0 0 ],
[9 6 5 1 0 1 0 0 1 3 0 0 0 5 5 7 7 0 4 0 1 2 6 6 0 8 2 2 4 0 1 3 6 2 6 6 11 1 1 5 0 5 9 3 0 0 2 1 3 0 1 4 2 0 4 4 1 0 0 9 0 0 0 0 ],
[1 1 1 1 0 1 1 0 0 10 0 2 0 3 0 5 3 0 4 0 5 2 4 0 9 0 2 4 10 3 4 4 0 1 2 6 10 0 2 5 0 5 8 1 0 0 3 0 10 0 5 1 2 0 4 1 7 0 0 3 0 0 0 0 ],
[5 12 1 0 0 1 4 0 5 0 0 3 0 7 0 0 1 0 8 0 7 7 0 2 9 4 2 0 0 3 2 1 2 2 3 0 3 4 4 0 0 2 1 12 0 0 1 2 12 0 9 1 0 0 0 2 6 0 0 0 0 0 0 0 ],
[5 8 3 0 0 2 2 0 5 1 0 1 0 3 2 0 7 0 6 0 2 6 0 5 6 2 1 4 4 3 4 5 0 1 3 4 12 7 5 3 0 7 9 2 0 0 2 0 8 0 2 5 1 0 0 2 8 0 0 9 0 0 0 0 ],
